Initialized:  1
Initialized:  2
693.699428645 , 497.666838809 , 152.378469076 , 0.00419902801514
1049.79186498 , 750.2215494 , 170.76406902 , 0.0131659507751
1059.43683266 , 735.962179884 , 148.326177892 , 0.0225849151611
1059.32861542 , 735.887542042 , 148.322904547 , 0.0327661037445
1087.95445811 , 689.302033892 , 101.761218971 , 0.0428850650787
1086.12820969 , 688.154225668 , 101.785516656 , 0.0529820919037
1090.13142863 , 682.983240122 , 108.489993649 , 0.0630300045013
1076.14995853 , 706.846827151 , 134.129754941 , 0.073135137558
1043.69626593 , 749.644359742 , 191.066495075 , 0.0831971168518
1058.30351896 , 760.119043628 , 192.170248839 , 0.0932669639587
1061.29596011 , 751.388576121 , 169.825389934 , 0.103305101395
1053.92429058 , 748.603970463 , 173.465599997 , 0.113397121429
1061.58287717 , 742.998167667 , 179.259184897 , 0.123435020447
1070.65048063 , 749.328950649 , 179.829395598 , 0.133520126343
1055.28779569 , 770.923927875 , 195.616914239 , 0.14359998703
1044.6897553 , 770.587607699 , 199.063271617 , 0.153645992279
1061.4410178 , 760.11231715 , 189.700479597 , 0.163852930069
1064.85770586 , 762.549134503 , 189.945099031 , 0.173758029938
1077.86707695 , 759.152182806 , 187.396004466 , 0.183834075928
1067.80313157 , 764.367713939 , 197.207056156 , 0.193933963776
1080.21294385 , 756.038496575 , 179.066438262 , 0.203936100006
1079.83353099 , 755.775158614 , 179.044473757 , 0.214020967484
1092.84063831 , 756.779786973 , 179.84124654 , 0.224092960358
1088.75670869 , 753.981002148 , 179.608088597 , 0.23419713974
1085.70553031 , 751.889978917 , 179.433892041 , 0.244260072708
1097.89150999 , 739.817385663 , 174.452671168 , 0.254300117493
1110.56915765 , 745.27702691 , 174.016592648 , 0.264403104782
1107.75441713 , 743.421145105 , 171.832755115 , 0.274481058121
1104.82392828 , 741.47840468 , 171.690227451 , 0.284529924393
1111.45104495 , 734.732653303 , 171.715559734 , 0.29460310936
1128.15255363 , 726.621241315 , 170.940785748 , 0.304661035538
1133.77912667 , 722.874184821 , 168.992231637 , 0.314739942551
1133.50851383 , 722.70385577 , 168.979943331 , 0.32483291626
1130.02514544 , 725.994894537 , 177.165351529 , 0.334886074066
1141.73643658 , 718.335964473 , 176.258985147 , 0.345035076141
1149.17530026 , 705.923453016 , 172.117873642 , 0.355027914047
1150.68965916 , 706.842622539 , 172.1910959 , 0.365144014359
1148.70019559 , 710.683075195 , 184.658652922 , 0.385302066803
1147.73308045 , 705.243056771 , 184.469924346 , 0.39533996582
1150.35715953 , 706.839296827 , 184.627514 , 0.405422925949
1145.86038938 , 710.967610496 , 192.817295589 , 0.415472984314
1151.10991391 , 704.091902748 , 194.956798273 , 0.425570011139
1151.14533833 , 699.270160637 , 196.879252364 , 0.435620069504
1152.97848418 , 700.373822196 , 197.009577804 , 0.445723056793
1152.36584689 , 700.184090134 , 206.417658644 , 0.455851078033
1163.19922904 , 689.864245811 , 212.33104961 , 0.465814113617
1164.80159817 , 688.385213415 , 214.458214497 , 0.476014137268
1160.97180868 , 686.14350817 , 214.13056834 , 0.485980987549
1155.07389888 , 692.242107757 , 214.016189646 , 0.496042966843
1158.55489999 , 686.354209644 , 224.971728907 , 0.506122112274
1161.10422255 , 683.043439592 , 227.089951147 , 0.516181945801
1164.01605043 , 684.740506772 , 227.370937559 , 0.526277065277
1166.12205434 , 682.923657986 , 224.432099732 , 0.536345005035
1164.22827623 , 682.429845278 , 231.764760294 , 0.54644203186
1164.93749558 , 678.014217049 , 237.864296955 , 0.556496143341
1164.55847296 , 677.795673012 , 237.824462535 , 0.566540002823
1171.62085119 , 670.971110118 , 234.456649538 , 0.576605081558
1176.08800164 , 660.864158266 , 242.654861144 , 0.616878986359
1178.98443691 , 655.604013581 , 254.274877032 , 0.627021074295
1182.86966694 , 653.009038246 , 254.495421302 , 0.637053966522
1181.85870124 , 652.456956862 , 254.376756291 , 0.647208929062
1183.5602305 , 650.68731326 , 254.425439953 , 0.657241106033
1186.58731788 , 645.852140101 , 263.148592444 , 0.667298078537
1186.93824976 , 643.668027622 , 265.15926983 , 0.677351951599
1180.5968749 , 640.265807465 , 264.359802255 , 0.687430143356
1177.69004146 , 642.292546082 , 268.945499877 , 0.697535037994
1186.36685648 , 634.237934225 , 274.739412447 , 0.707592010498
1189.69842449 , 628.950120033 , 278.972273956 , 0.71838593483
1185.95870321 , 626.994017058 , 278.457384601 , 0.728533983231
1185.43903464 , 624.897990171 , 289.299877151 , 0.73855805397
1180.97937729 , 628.304038165 , 289.843634981 , 0.748599052429
1182.25167925 , 624.294343404 , 293.909944939 , 0.758691072464
1180.6495748 , 623.456660084 , 293.66726932 , 0.768748044968
1178.4515983 , 622.158535392 , 306.783827965 , 0.778846979141
1171.04486379 , 615.62451746 , 308.908817029 , 0.788908958435
1170.39422157 , 608.34710377 , 316.586411338 , 0.798978090286
1174.6305862 , 610.527349532 , 317.318476215 , 0.809046983719
1168.79729257 , 613.327867606 , 327.152300512 , 0.819128036499
1164.11603026 , 608.280466212 , 326.086110569 , 0.829221963882
1160.58563738 , 604.098315667 , 333.498970342 , 0.839290142059
1162.01843795 , 604.837289914 , 333.769544932 , 0.849408149719
1152.83163835 , 610.702599817 , 343.516850107 , 0.859472036362
1149.07221529 , 608.726493492 , 342.768818456 , 0.869535923004
1142.90122144 , 605.329723427 , 355.854167051 , 0.879598140717
1136.08352097 , 601.7469826 , 354.412364272 , 0.889663934708
1127.76180326 , 608.862478727 , 357.257497766 , 0.899745941162
